Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
NEW YORK,NEW YORK,,01/01/2020,40,34.8,38,28.2,,0.06,,13.7,24.2,22.7,57.3,"Rain, Clear"
NEW YORK,NEW YORK,,01/02/2020,47.5,32.8,40.4,27.3,,0.04,,8.9,50.6,3.3,62.35,"Rain, Clear"
NEW YORK,NEW YORK,,01/03/2020,46.9,43.8,45.6,42.2,,0.03,,4.8,,27.5,85.88,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,01/04/2020,48.8,42.4,46.6,43.1,,0.13,,4.8,,31.4,93.35,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,01/05/2020,43.5,36.7,39.7,31.2,,0,,7.2,41.9,24.3,52.87,Clear
NEW YORK,NEW YORK,,01/06/2020,44.5,32.6,38.8,26.9,,0.02,,10.5,51.7,18.6,68.71,"Rain, Clear"
NEW YORK,NEW YORK,,01/07/2020,43.2,37.8,40.1,34,,0,,7.2,39.1,8.7,58.98,Clear
NEW YORK,NEW YORK,,01/08/2020,43.2,29.8,35.9,26.5,,0,,10.5,47.2,14.9,61.57,Clear
NEW YORK,NEW YORK,,01/09/2020,34.6,25.3,30.5,19.4,,0,,6.4,40.8,3.7,49.28,Clear
NEW YORK,NEW YORK,,01/10/2020,52.4,33.9,43.8,28.2,,0,,9.7,44.2,24.9,74.38,Clear
NEW YORK,NEW YORK,,01/11/2020,63.8,52.6,58.5,,,0,,12,39.1,28.3,74.62,Partially cloudy
NEW YORK,NEW YORK,,01/12/2020,65.6,48.5,59.6,47.1,,0.01,,16.1,35,9.9,61.49,"Rain, Clear"
NEW YORK,NEW YORK,,01/13/2020,46.4,38.8,43.3,33,,0,,9.7,,32.1,74.96,Partially cloudy
NEW YORK,NEW YORK,,01/14/2020,45.6,40.9,43.2,36.8,,0,,7.2,,25.4,85.21,Partially cloudy
NEW YORK,NEW YORK,,01/15/2020,51.7,42.8,46.4,39.5,,0,,6.4,34.4,9.6,71.71,Clear
NEW YORK,NEW YORK,,01/16/2020,49.2,35.7,43.4,32.2,,0.02,,10.5,42.5,20.1,66.86,"Rain, Clear"
NEW YORK,NEW YORK,,01/17/2020,34.7,23.6,28.6,17.1,,0,,6.4,45.9,2.9,45.48,Clear
NEW YORK,NEW YORK,,01/18/2020,37.2,22.2,27.9,15.8,,0.14,,10.6,18.3,21.8,72.73,"Rain, Clear"
NEW YORK,NEW YORK,,01/19/2020,44.1,30.9,38.6,30.6,,0,,9.7,24.2,21.4,65.67,Clear
NEW YORK,NEW YORK,,01/20/2020,35.4,22.5,27.8,16.6,,0,,8,46.6,0.8,49.56,Clear
NEW YORK,NEW YORK,,01/21/2020,36.4,23.3,28.7,17.1,,0,,7.2,42.5,0,57.42,Clear
NEW YORK,NEW YORK,,01/22/2020,40.5,27.9,33.3,22.2,,0.01,,5.6,48.3,0,58.76,"Rain, Clear"
NEW YORK,NEW YORK,,01/23/2020,44.8,31.5,38.1,27,,0,,4.8,48.3,0,60.14,Clear
NEW YORK,NEW YORK,,01/24/2020,52.2,37.9,43.6,34.5,,0,,10.5,39.1,0.8,57.33,Clear
NEW YORK,NEW YORK,,01/25/2020,50.5,39.7,43.9,32.5,,0.03,,15.3,33.3,28.2,88.46,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,01/26/2020,46.7,38,41.4,34,,0,,9.7,24.2,18.3,70.35,Clear
NEW YORK,NEW YORK,,01/27/2020,46,37.8,40.9,31.9,,0.02,,9.7,58.7,27.6,63.77,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,01/28/2020,44,38.5,40.2,33.8,,0.01,,6.4,48.3,33.4,57.72,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,01/29/2020,43.2,33.8,37.5,29.2,,0.01,,6.4,49.4,15.4,50.22,"Rain, Clear"
NEW YORK,NEW YORK,,01/30/2020,38.4,28.4,33.7,19,,0,,10.5,47.2,6.3,63.01,Clear
NEW YORK,NEW YORK,,01/31/2020,42.7,35.7,39.5,30.9,,0.02,,5.6,33.3,30.4,76.81,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/01/2020,42.6,38.5,40.2,34.8,,0.01,,7.2,41.4,31.4,84.97,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/02/2020,42.6,35.7,38.6,31.2,,0.02,,11.2,20.8,26.6,80.51,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/03/2020,55.6,36.7,46.5,32.2,,0.03,,8,52.8,16.9,68.89,"Rain, Clear"
NEW YORK,NEW YORK,,02/04/2020,57.1,43.5,48.9,39.7,,0.01,,7.2,43.6,20.6,78.47,"Rain, Clear"
NEW YORK,NEW YORK,,02/05/2020,52.4,39.8,42.2,33.6,,0,,9.7,36.7,31.5,64.4,Partially cloudy
NEW YORK,NEW YORK,,02/06/2020,42.1,37.8,40.3,32.3,,0.1,,12,21.9,35.4,92.89,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/07/2020,53.8,34,41.5,29.2,,0.07,,20.1,45.3,31.5,79.71,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/08/2020,41.7,31.8,36.4,25.6,,0.01,,13.7,39.1,10.6,52.09,"Rain, Clear"
NEW YORK,NEW YORK,,02/09/2020,44.6,33.8,39.2,26.5,,0.02,,9.7,40.1,27.3,70.05,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/10/2020,45.7,41.9,43.5,37.4,,0.18,,8.9,,31.5,83.4,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/11/2020,48.1,43.9,45.6,42.9,,0.21,,4.1,,30,89.86,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/12/2020,45.7,38.2,42,34.1,,0.09,,8.9,45.9,14.1,56.36,"Rain, Clear"
NEW YORK,NEW YORK,,02/13/2020,43.1,36.9,40.3,35.5,,0.15,,5.6,,27.3,88.46,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/14/2020,39.9,21,32.1,13.5,,0,,9.7,44.7,3.9,49.27,Clear
NEW YORK,NEW YORK,,02/15/2020,30.7,17.9,25.2,10.1,,0,,10.5,18.3,0,62,Clear
NEW YORK,NEW YORK,,02/16/2020,45.7,30.6,37.2,22.9,,0,,10.5,41.4,13.9,66.85,Clear
NEW YORK,NEW YORK,,02/17/2020,50.8,39.2,43.8,33.2,,0.01,,12,40.3,1.7,53.05,"Rain, Clear"
NEW YORK,NEW YORK,,02/18/2020,47.8,38.8,43,32,,0,,11.2,19.7,30.9,76.66,Partially cloudy
NEW YORK,NEW YORK,,02/19/2020,50.2,34.9,43.8,31,,0,,6.4,43.6,9.8,46.77,Clear
NEW YORK,NEW YORK,,02/20/2020,36.2,28,32.9,21.8,,0.01,,10.5,53.4,5.7,45.75,"Rain, Clear"
NEW YORK,NEW YORK,,02/21/2020,36.9,23.8,30.3,17.4,,0.01,,8,42.5,0,46.79,"Rain, Clear"
NEW YORK,NEW YORK,,02/22/2020,49.8,30.6,39.6,22.6,,0,,10.5,48.3,0,37.11,Clear
NEW YORK,NEW YORK,,02/23/2020,55.8,35.9,45.4,31.8,,0.01,,10.5,47.2,4.4,37.87,"Rain, Clear"
NEW YORK,NEW YORK,,02/24/2020,58.1,39.8,47.3,37.4,,0,,4.8,48.3,11.1,55.21,Clear
NEW YORK,NEW YORK,,02/25/2020,49,45.4,46.9,42.7,,0.03,,6.4,,27.4,83.14,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/26/2020,46.9,44.9,46,38.7,,0.01,,12.8,25.3,37.7,91.7,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/27/2020,44.9,32,40,22.1,,0.1,,17.6,43.7,27.8,62.07,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,02/28/2020,41.4,30,35.4,19.9,,0.02,,16.1,46.5,21.5,45.53,"Rain, Clear"
NEW YORK,NEW YORK,,02/29/2020,36,27.7,31.9,21.5,,0,,11.2,34.4,10,47.08,Clear
NEW YORK,NEW YORK,,03/01/2020,46.7,26.5,36,20.7,,0,,9.7,40.3,3,48.1,Clear
NEW YORK,NEW YORK,,03/02/2020,56.6,38.7,48.4,36,,0.01,,10.5,39.1,9.5,54.95,"Rain, Clear"
NEW YORK,NEW YORK,,03/03/2020,55.1,48.2,51.3,46.9,,0,,8,52.8,15,79.77,Clear
NEW YORK,NEW YORK,,03/04/2020,55.7,44.9,49.7,39,,0.01,,17.6,51.7,3.7,50.85,"Rain, Clear"
NEW YORK,NEW YORK,,03/05/2020,51.7,39.9,45,38,,0,,6.4,45.9,0,53.6,Clear
NEW YORK,NEW YORK,,03/06/2020,45.5,38.7,41.6,33,,0.01,,11.2,23,21.6,80.87,"Rain, Clear"
NEW YORK,NEW YORK,,03/07/2020,50.2,37.5,42,35.2,,0,,5.6,34.4,11.2,48.42,Clear
NEW YORK,NEW YORK,,03/08/2020,57.2,35.9,46.2,32.3,,0,,8,58.6,6.1,39.36,Clear
NEW YORK,NEW YORK,,03/09/2020,69.4,44,55.8,41.3,,0,,8.9,52.8,0,36.64,Clear
NEW YORK,NEW YORK,,03/10/2020,61.4,52,57.6,,,0,,12.8,53.9,14.3,57.71,Clear
NEW YORK,NEW YORK,,03/11/2020,57.2,45,50.5,42.5,,0,,7.8,47.2,9,50.13,Clear
NEW YORK,NEW YORK,,03/12/2020,47.9,44.3,46.7,42.1,,0,,10.5,34.4,23.5,70.39,Clear
NEW YORK,NEW YORK,,03/13/2020,67.9,47.4,55.1,42.4,,0.03,,14.5,33.3,34.3,69.26,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,03/14/2020,57.6,44.1,49.6,39,,0,,9.2,26.4,7.8,36.95,Clear
NEW YORK,NEW YORK,,03/15/2020,55.7,43.6,47.7,39.8,,0,,8.9,19.7,14.8,41.95,Clear
NEW YORK,NEW YORK,,03/16/2020,45,35.1,40.9,26.4,,0,,12.8,33.3,17.1,53.39,Clear
NEW YORK,NEW YORK,,03/17/2020,52.3,42.5,46.7,39.3,,0.01,,9.7,19.7,27.6,79.89,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,03/18/2020,52.3,43.1,47.3,40.5,,0,,6.4,,5.7,51.3,Clear
NEW YORK,NEW YORK,,03/19/2020,50.9,42.9,46.9,37.7,,0.01,,12,23,33.4,84.52,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,03/20/2020,72,46.8,56.6,44.8,,0,,10.5,26.4,30.9,78.36,Partially cloudy
NEW YORK,NEW YORK,,03/21/2020,66.1,43.5,49.9,39.7,,0,,10.5,20.8,12.7,43.48,Clear
NEW YORK,NEW YORK,,03/22/2020,45.6,35.8,40.2,27.5,,0,,12,27,24.5,47.48,Clear
NEW YORK,NEW YORK,,03/23/2020,42.4,38.5,39.4,30,,0.52,,15.3,29.3,31.9,84.2,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,03/24/2020,56.2,37.8,46,33.4,,0,,8.9,,6.3,67.42,Clear
NEW YORK,NEW YORK,,03/25/2020,44.9,41.9,43.5,36.1,,0,,15.3,31.1,25,72.97,Clear
NEW YORK,NEW YORK,,03/26/2020,57.6,39.6,47.3,35.1,,0,,8.9,17.2,0.8,64.07,Clear
NEW YORK,NEW YORK,,03/27/2020,68.8,49.6,57.1,47.2,,0,,7.2,,13,53.76,Clear
NEW YORK,NEW YORK,,03/28/2020,55.2,46.1,49,41,,0,,11.2,23,23.3,67.49,Clear
NEW YORK,NEW YORK,,03/29/2020,46.9,45,46.2,38.4,,0,,15.3,27.7,35.4,93.2,Partially cloudy
NEW YORK,NEW YORK,,03/30/2020,49.1,43.9,46.7,39.7,,0,,8.9,,32.3,86.47,Partially cloudy
NEW YORK,NEW YORK,,03/31/2020,45.3,41.9,43.6,36.2,,0,,10.5,19.7,34.6,80.72,Partially cloudy
